,row 1,row 2,row 3,row 4,row 5,row 6,row 7,row 8,row 9,row 10,row 11,row 12,row 13,row 14,row 15,row 16,row 17,row 18,row 19,row 20
bin,[0],"[0, 1]","[0, 1, 2]","[0, 1, 2, 3]","[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6]","[0, 1, 2, 3, 4, 5, 6, 7]","[0, 1, 2, 3, 4, 5, 6, 7, 8]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100]"
bin_width,[1000],"[178, 822]","[178, 450, 372]","[25, 153, 450, 372]","[25, 153, 450, 166, 206]","[25, 38, 115, 450, 166, 206]","[25, 38, 115, 156, 294, 166, 206]","[25, 38, 42, 73, 156, 294, 166, 206]","[25, 18, 20, 42, 73, 156, 294, 166, 206]","[25, 18, 20, 42, 73, 156, 294, 166, 89, 117]","[25, 18, 20, 42, 73, 156, 120, 174, 166, 89, 117]","[16, 9, 7, 11, 10, 11, 27, 15, 40, 11, 21, 89, 66, 120, 74, 100, 57, 109, 89, 63, 54]","[16, 9, 7, 11, 10, 3, 8, 27, 15, 40, 11, 14, 7, 89, 29, 37, 57, 63, 74, 46, 54, 6, 52, 8, 59, 42, 28, 61, 63, 28, 26]","[6, 10, 6, 3, 7, 11, 10, 3, 2, 6, 6, 21, 7, 8, 10, 30, 11, 14, 6, 1, 45, 45, 29, 37, 57, 63, 74, 46, 54, 6, 7, 45, 8, 59, 42, 28, 29, 32, 63, 28, 26]","[6, 10, 6, 3, 7, 11, 10, 3, 2, 6, 6, 21, 7, 8, 10, 12, 18, 4, 7, 14, 6, 1, 45, 2, 43, 29, 21, 17, 57, 63, 74, 46, 23, 31, 6, 7, 25, 19, 8, 59, 5, 38, 13, 15, 29, 32, 42, 21, 28, 9, 17]","[6, 10, 6, 3, 7, 4, 6, 10, 3, 2, 6, 6, 11, 10, 7, 8, 10, 12, 6, 12, 4, 7, 14, 6, 1, 45, 2, 43, 9, 20, 21, 17, 13, 44, 28, 34, 32, 42, 46, 23, 31, 1, 4, 7, 25, 19, 8, 59, 5, 17, 21, 13, 15, 29, 32, 42, 12, 9, 28, 9, 17]","[6, 9, 1, 6, 3, 7, 4, 6, 4, 6, 3, 2, 6, 6, 11, 10, 7, 8, 10, 12, 6, 12, 4, 7, 4, 11, 6, 1, 9, 35, 2, 43, 9, 20, 21, 17, 13, 44, 28, 34, 32, 42, 20, 26, 23, 31, 1, 4, 7, 25, 19, 8, 34, 24, 5, 17, 13, 8, 13, 15, 15, 8, 6, 13, 19, 42, 12, 9, 28, 9, 17]","[6, 9, 1, 6, 3, 7, 4, 6, 4, 6, 3, 2, 6, 6, 11, 10, 7, 6, 1, 10, 12, 6, 12, 4, 7, 4, 11, 6, 1, 9, 35, 2, 26, 17, 9, 20, 8, 13, 6, 11, 13, 17, 27, 28, 34, 32, 42, 20, 26, 23, 31, 1, 4, 7, 25, 19, 8, 34, 24, 5, 17, 13, 8, 13, 15, 15, 8, 6, 13, 7, 12, 7, 34, 12, 3, 6, 5, 24, 9, 12, 5]","[6, 9, 1, 6, 1, 2, 7, 4, 6, 4, 6, 3, 2, 6, 6, 11, 10, 7, 6, 1, 10, 12, 6, 12, 3, 1, 4, 3, 4, 11, 6, 1, 9, 9, 26, 2, 26, 17, 9, 20, 8, 13, 6, 11, 13, 17, 27, 28, 11, 24, 32, 9, 32, 20, 26, 23, 21, 9, 1, 4, 7, 25, 7, 13, 8, 34, 24, 5, 17, 13, 3, 5, 13, 5, 10, 15, 8, 6, 13, 7, 12, 7, 34, 12, 3, 6, 5, 24, 9, 12, 5]","[6, 9, 1, 6, 1, 2, 7, 4, 6, 4, 6, 3, 2, 6, 6, 11, 10, 7, 6, 1, 10, 12, 6, 12, 3, 1, 4, 3, 4, 11, 6, 1, 9, 9, 26, 2, 26, 5, 12, 9, 6, 14, 8, 3, 10, 6, 11, 13, 17, 27, 28, 11, 24, 32, 9, 32, 20, 11, 16, 13, 10, 21, 9, 1, 4, 7, 8, 17, 7, 13, 8, 34, 24, 5, 17, 13, 3, 5, 13, 5, 10, 15, 8, 6, 13, 7, 4, 8, 7, 9, 25, 12, 3, 4, 2, 5, 24, 9, 12, 2, 2]"
cum_bin_width,[0],"[0, 178]","[0, 178, 628]","[0, 25, 178, 628]","[0, 25, 178, 628, 794]","[0, 25, 63, 178, 628, 794]","[0, 25, 63, 178, 334, 628, 794]","[0, 25, 63, 105, 178, 334, 628, 794]","[0, 25, 43, 63, 105, 178, 334, 628, 794]","[0, 25, 43, 63, 105, 178, 334, 628, 794, 883]","[0, 25, 43, 63, 105, 178, 334, 454, 628, 794, 883]","[0, 16, 25, 32, 43, 53, 64, 91, 106, 146, 157, 178, 267, 333, 453, 527, 627, 684, 793, 882, 945]","[0, 16, 25, 32, 43, 53, 56, 64, 91, 106, 146, 157, 171, 178, 267, 296, 333, 390, 453, 527, 573, 627, 633, 685, 693, 752, 794, 822, 883, 946, 974]","[0, 6, 16, 22, 25, 32, 43, 53, 56, 58, 64, 70, 91, 98, 106, 116, 146, 157, 171, 177, 178, 223, 268, 297, 334, 391, 454, 528, 574, 628, 634, 641, 686, 694, 753, 795, 823, 852, 884, 947, 975]","[0, 6, 16, 22, 25, 32, 43, 53, 56, 58, 64, 70, 91, 98, 106, 116, 128, 146, 150, 157, 171, 177, 178, 223, 225, 268, 297, 318, 335, 392, 455, 529, 575, 598, 629, 635, 642, 667, 686, 694, 753, 758, 796, 809, 824, 853, 885, 927, 948, 976, 985]","[0, 6, 16, 22, 25, 32, 36, 42, 52, 55, 57, 63, 69, 80, 90, 97, 105, 115, 127, 133, 145, 149, 156, 170, 176, 177, 222, 224, 267, 276, 296, 317, 334, 347, 391, 419, 453, 485, 527, 573, 596, 627, 628, 632, 639, 664, 683, 691, 750, 755, 772, 793, 806, 821, 850, 882, 924, 936, 945, 973, 982]","[0, 6, 15, 16, 22, 25, 32, 36, 42, 46, 52, 55, 57, 63, 69, 80, 90, 97, 105, 115, 127, 133, 145, 149, 156, 160, 171, 177, 178, 187, 222, 224, 267, 276, 296, 317, 334, 347, 391, 419, 453, 485, 527, 547, 573, 596, 627, 628, 632, 639, 664, 683, 691, 725, 749, 754, 771, 784, 792, 805, 820, 835, 843, 849, 862, 881, 923, 935, 944, 972, 981]","[0, 6, 15, 16, 22, 25, 32, 36, 42, 46, 52, 55, 57, 63, 69, 80, 90, 97, 103, 104, 114, 126, 132, 144, 148, 155, 159, 170, 176, 177, 186, 221, 223, 249, 266, 275, 295, 303, 316, 322, 333, 346, 363, 390, 418, 452, 484, 526, 546, 572, 595, 626, 627, 631, 638, 663, 682, 690, 724, 748, 753, 770, 783, 791, 804, 819, 834, 842, 848, 861, 868, 880, 887, 921, 933, 936, 942, 947, 971, 980, 992]","[0, 6, 15, 16, 22, 23, 25, 32, 36, 42, 46, 52, 55, 57, 63, 69, 80, 90, 97, 103, 104, 114, 126, 132, 144, 147, 148, 152, 155, 159, 170, 176, 177, 186, 195, 221, 223, 249, 266, 275, 295, 303, 316, 322, 333, 346, 363, 390, 418, 429, 453, 485, 494, 526, 546, 572, 595, 616, 625, 626, 630, 637, 662, 669, 682, 690, 724, 748, 753, 770, 783, 786, 791, 804, 809, 819, 834, 842, 848, 861, 868, 880, 887, 921, 933, 936, 942, 947, 971, 980, 992]","[0, 6, 15, 16, 22, 23, 25, 32, 36, 42, 46, 52, 55, 57, 63, 69, 80, 90, 97, 103, 104, 114, 126, 132, 144, 147, 148, 152, 155, 159, 170, 176, 177, 186, 195, 221, 223, 249, 254, 266, 275, 281, 295, 303, 306, 316, 322, 333, 346, 363, 390, 418, 429, 453, 485, 494, 526, 546, 557, 573, 586, 596, 617, 626, 627, 631, 638, 646, 663, 670, 683, 691, 725, 749, 754, 771, 784, 787, 792, 805, 810, 820, 835, 843, 849, 862, 869, 873, 881, 888, 897, 922, 934, 937, 941, 943, 948, 972, 981, 993, 995]"
ratio_width,[100.0],"[17.83, 82.17]","[17.83, 44.95, 37.21]","[2.5, 15.34, 44.95, 37.21]","[2.5, 15.34, 44.95, 16.64, 20.58]","[2.5, 3.83, 11.5, 44.95, 16.64, 20.58]","[2.5, 3.83, 11.5, 15.58, 29.37, 16.64, 20.58]","[2.5, 3.83, 4.22, 7.28, 15.58, 29.37, 16.64, 20.58]","[2.5, 1.79, 2.04, 4.22, 7.28, 15.58, 29.37, 16.64, 20.58]","[2.5, 1.79, 2.04, 4.22, 7.28, 15.58, 29.37, 16.64, 8.9, 11.68]","[2.5, 1.79, 2.04, 4.22, 7.28, 15.58, 11.99, 17.38, 16.64, 8.9, 11.68]","[1.62, 0.88, 0.74, 1.06, 0.98, 1.06, 2.74, 1.48, 4.05, 1.09, 2.15, 8.93, 6.65, 11.99, 7.35, 10.02, 5.73, 10.9, 8.9, 6.26, 5.42]","[1.62, 0.88, 0.74, 1.06, 0.98, 0.28, 0.77, 2.74, 1.48, 4.05, 1.09, 1.44, 0.7, 8.93, 2.92, 3.73, 5.73, 6.26, 7.35, 4.64, 5.38, 0.56, 5.17, 0.81, 5.87, 4.22, 2.81, 6.09, 6.26, 2.81, 2.6]","[0.6, 1.02, 0.6, 0.28, 0.74, 1.06, 0.98, 0.28, 0.18, 0.6, 0.63, 2.11, 0.7, 0.77, 1.02, 3.02, 1.09, 1.44, 0.6, 0.11, 4.47, 4.47, 2.92, 3.73, 5.73, 6.26, 7.35, 4.64, 5.38, 0.56, 0.7, 4.47, 0.81, 5.87, 4.22, 2.81, 2.92, 3.17, 6.26, 2.81, 2.6]","[0.6, 1.02, 0.6, 0.28, 0.74, 1.06, 0.98, 0.28, 0.18, 0.6, 0.63, 2.11, 0.7, 0.77, 1.02, 1.2, 1.83, 0.39, 0.7, 1.44, 0.6, 0.11, 4.47, 0.18, 4.29, 2.92, 2.08, 1.65, 5.73, 6.26, 7.35, 4.64, 2.29, 3.1, 0.56, 0.7, 2.53, 1.93, 0.81, 5.87, 0.46, 3.76, 1.27, 1.55, 2.92, 3.17, 4.15, 2.11, 2.81, 0.95, 1.65]","[0.6, 1.02, 0.6, 0.28, 0.74, 0.42, 0.63, 0.98, 0.28, 0.18, 0.6, 0.63, 1.09, 1.02, 0.7, 0.77, 1.02, 1.2, 0.6, 1.23, 0.39, 0.7, 1.44, 0.6, 0.11, 4.47, 0.18, 4.29, 0.88, 2.04, 2.08, 1.65, 1.3, 4.43, 2.81, 3.45, 3.2, 4.15, 4.64, 2.29, 3.1, 0.14, 0.42, 0.7, 2.53, 1.93, 0.81, 5.87, 0.46, 1.69, 2.08, 1.27, 1.55, 2.92, 3.17, 4.15, 1.23, 0.88, 2.81, 0.95, 1.65]","[0.6, 0.91, 0.11, 0.6, 0.28, 0.74, 0.42, 0.63, 0.42, 0.56, 0.28, 0.18, 0.6, 0.63, 1.09, 1.02, 0.7, 0.77, 1.02, 1.2, 0.6, 1.23, 0.39, 0.7, 0.39, 1.06, 0.6, 0.11, 0.95, 3.52, 0.18, 4.29, 0.88, 2.04, 2.08, 1.65, 1.3, 4.43, 2.81, 3.45, 3.2, 4.15, 2.0, 2.64, 2.29, 3.1, 0.14, 0.42, 0.7, 2.53, 1.93, 0.81, 3.45, 2.43, 0.46, 1.69, 1.27, 0.81, 1.27, 1.55, 1.55, 0.77, 0.6, 1.3, 1.86, 4.15, 1.23, 0.88, 2.81, 0.95, 1.65]","[0.6, 0.91, 0.11, 0.6, 0.28, 0.74, 0.42, 0.63, 0.42, 0.56, 0.28, 0.18, 0.6, 0.63, 1.09, 1.02, 0.7, 0.63, 0.14, 1.02, 1.2, 0.6, 1.23, 0.39, 0.7, 0.39, 1.06, 0.6, 0.11, 0.95, 3.52, 0.18, 2.6, 1.69, 0.88, 2.04, 0.77, 1.3, 0.56, 1.09, 1.3, 1.72, 2.71, 2.81, 3.45, 3.2, 4.15, 2.0, 2.64, 2.29, 3.1, 0.14, 0.42, 0.7, 2.53, 1.93, 0.81, 3.45, 2.43, 0.46, 1.69, 1.27, 0.81, 1.27, 1.55, 1.55, 0.77, 0.6, 1.3, 0.7, 1.16, 0.74, 3.41, 1.23, 0.28, 0.6, 0.46, 2.36, 0.95, 1.2, 0.46]","[0.6, 0.91, 0.11, 0.6, 0.07, 0.21, 0.74, 0.42, 0.63, 0.42, 0.56, 0.28, 0.18, 0.6, 0.63, 1.09, 1.02, 0.7, 0.63, 0.14, 1.02, 1.2, 0.6, 1.23, 0.28, 0.11, 0.42, 0.28, 0.39, 1.06, 0.6, 0.11, 0.95, 0.91, 2.6, 0.18, 2.6, 1.69, 0.88, 2.04, 0.77, 1.3, 0.56, 1.09, 1.3, 1.72, 2.71, 2.81, 1.06, 2.39, 3.2, 0.91, 3.24, 2.0, 2.64, 2.29, 2.15, 0.95, 0.14, 0.42, 0.7, 2.53, 0.67, 1.27, 0.81, 3.45, 2.43, 0.46, 1.69, 1.27, 0.28, 0.53, 1.27, 0.53, 1.02, 1.55, 0.77, 0.6, 1.3, 0.7, 1.16, 0.74, 3.41, 1.23, 0.28, 0.6, 0.46, 2.36, 0.95, 1.2, 0.46]","[0.6, 0.91, 0.11, 0.6, 0.07, 0.21, 0.74, 0.42, 0.63, 0.42, 0.56, 0.28, 0.18, 0.6, 0.63, 1.09, 1.02, 0.7, 0.63, 0.14, 1.02, 1.2, 0.6, 1.23, 0.28, 0.11, 0.42, 0.28, 0.39, 1.06, 0.6, 0.11, 0.95, 0.91, 2.6, 0.18, 2.6, 0.53, 1.16, 0.88, 0.6, 1.44, 0.77, 0.28, 1.02, 0.56, 1.09, 1.3, 1.72, 2.71, 2.81, 1.06, 2.39, 3.2, 0.91, 3.24, 2.0, 1.06, 1.58, 1.27, 1.02, 2.15, 0.95, 0.14, 0.42, 0.7, 0.84, 1.69, 0.67, 1.27, 0.81, 3.45, 2.43, 0.46, 1.69, 1.27, 0.28, 0.53, 1.27, 0.53, 1.02, 1.55, 0.77, 0.6, 1.3, 0.7, 0.39, 0.77, 0.74, 0.91, 2.5, 1.23, 0.28, 0.42, 0.18, 0.46, 2.36, 0.95, 1.2, 0.25, 0.21]"
