,RGB,HSV,name
0,"(255, 0, 0)","(0, 1, 1)",red
1,"(255, 128, 0)","(30, 1, 1)",orange
2,"(255, 255, 0)","(60, 1, 1)",yellow
3,"(128, 255, 0)","(90, 1, 1)",green-yellow
4,"(0, 255, 0)","(120, 1, 1)",green
5,"(0, 255, 128)","(150, 1, 1)",green-blue
6,"(0, 255, 255)","(180, 1, 1)",cyan
7,"(0, 128, 255)","(210, 1, 1)",blue-yellow
8,"(0, 0, 255)","(240, 1, 1)",blue
9,"(128, 0, 255)","(270, 1, 1)",purple
10,"(255, 0, 255)","(300, 1, 1)",magenta
11,"(255, 0, 128)","(330, 1, 1)",red-yellow
