,name,RGB,HSV,LAB,LCH,HEX
0,red,"[255, 0, 0]",[0.        0.9999999 1.       ],"[53.240966796875, 80.09375, 67.203125]","[53.240966796875, 104.55270385742188, 39.9985237121582]",#ff0000
1,orange,"[255, 128, 0]",[30.117645   0.9999999  1.       ],"[67.05322265625, 42.828125, 74.015625]","[67.05322265625, 85.51351165771484, 59.94476318359375]",#ff8000
2,yellow,"[255, 255, 0]",[59.999992   0.9999999  1.       ],"[97.137451171875, -21.546875, 94.46875]","[97.137451171875, 96.89485168457031, 102.8484878540039]",#ffff00
3,green,"[0, 255, 0]",[120.          0.9999999   1.       ],"[87.738037109375, -86.1875, 83.171875]","[87.738037109375, 119.7741470336914, 136.0200958251953]",#00ff00
4,blue,"[0, 0, 255]",[240.          0.9999999   1.       ],"[32.293701171875, 79.1875, -107.859375]","[32.293701171875, 133.8069610595703, 306.2851257324219]",#0000ff
5,violet,"[128, 0, 255]",[270.11765     0.9999999   1.       ],"[40.90576171875, 83.171875, -93.28125]","[40.90576171875, 124.9758071899414, 311.7209777832031]",#8000ff
