,name,RGB,HSV,LCH
0,red,"(255, 0, 0)","(0.0, 1.0, 1.0)","(53.23896002513146, 104.5490632458832, 39.998956384033)"
1,orange,"(255, 128, 0)","(30.117647058823536, 1.0, 1.0)","(67.05363670718262, 85.51121872437398, 59.94829035360109)"
2,yellow,"(255, 255, 0)","(60.0, 1.0, 1.0)","(97.13881604341229, 96.90562670895875, 102.85364076066827)"
3,green,"(0, 255, 0)","(120.0, 1.0, 1.0)","(87.73500278716472, 119.77619150768527, 136.01595610184012)"
4,blue,"(0, 0, 255)","(240.0, 1.0, 1.0)","(32.299375201436156, 133.81418310898948, 306.2849324076952)"
5,violet,"(128, 0, 255)","(270.11764705882354, 1.0, 1.0)","(40.91087249834124, 124.98752253174595, 311.7158912785942)"
